"Arhiiv","tegevused","<p>Arhiivi uudised ja tegevused.</p>","wysiwyg","4","","",""
"Film","tegevused","<p>Filmi uudised ja tegevused.</p>","wysiwyg","5","","",""
"Juhatus","tegevused","<p>Seltsi juhatuse tegevused.</p>","wysiwyg","7","","",""
"Koor","tegevused","<p>Koori uudised ja tegevused.</p>","wysiwyg","1","","",""
"Raamatukogu","tegevused","<p>Raamatukogu uudised ja tegevused.</p>","wysiwyg","6","","",""
"Rahvatants","tegevused","<p>Rahvatantsu uudised ja tegevused.</p>","wysiwyg","2","","",""
"Selts","tegevused","<p>Seltsi uudised ja tegevused.</p>","wysiwyg","0","","",""
"Sport","tegevused","<p>Spordiklubi uudised ja tegevused.</p>","wysiwyg","3","","",""
"Väline","tegevused","<p>Uudised ja tegevused välistest kanalitest.</p>","wysiwyg","8","","",""
